id	language	text	task1
1	es	hoy a la mañana me quisieron levantar a un auto y como dije que no me gritaron feminazi, son cualqqqquiera	SEXIST
2	es	@funesmemoriosa @Leaobutron Lo que pasa es que eres una feminazi, bebefobica traumada por eso todo lo vez ofensivo	SEXIST
3	es	"Anoche a la salida del boliche dos chicos tiraron una caja y me cayó en la cabeza, cuando les dije que eran unos imbéciles, me respondieron con un “salí de acá, feminazi hija de puta”.
Se supone que la culpa fue mía por decirles imbéciles y no de ellos por SER IMBÉCILES o que"	SEXIST
4	es	@tjcope y va la tonta y pregunta por la prensa, a fregar!!! O mejor a hacer porno	SEXIST
5	es	Que no me cuentes tu vida, niñata. https://t.co/IFClAASLFv	NON_SEXIST
6	es	"@cucumber_1987 @Patri_altamira @minutounocom Soy de Santa Fe Capital, vivo en CABA... ¿Eso cambia algo? Una locura que afirmes que la mayoría piensa como una mujer que contesta ""no sé, qué se yo"", no es así..."	NON_SEXIST
7	es	Me siento cómo una niña chiquita, cuando la van a recoger para llevarla al parque. Jaja:(	NON_SEXIST
8	es	@MarkSyers @PacoDelMazo No es ser mojigata, no sea usted pendejo, tengo un humor negro y ácido, pero eso no implica que tenga la mentalidad, estudiale tantito mami y conocerás todo lo que tuvo que pasar para que tú puedas salir muy fresca y natural a la calle y votar	NON_SEXIST
9	es	Mucho feminismo pero cada vez que podes me tiras un comentario de mierda sobre mí cuerpo. Tengo un espejo en mí casa, los defectos me los veo todos los días.	NON_SEXIST
10	es	hola? hay mujeres a las que nos gusta el fútbol y estamos informadas sobre los equipos y jugadores, es la mayor estupidez que he leído en mi vida, mucho feminismo pero aquí nos está dejando como tontas que no tienen ni idea https://t.co/MiBIlTRT2B	NON_SEXIST
11	es	mucho feminismo pero cuando te enteras de que a tu amiga le estan poniendo el cuerno prefieres no decirle porque no es “tu asunto”	SEXIST
12	es	Mujer al volante apuro constante. https://t.co/6mp8tGwFih	SEXIST
13	es	Perdonen que suene machista, pero no es por esa vía, hoy comprobé que una mujer al volante te de un camión de transporte público da mejor aspecto a la ruta que nosotros #LosHombresToreto....más mujeres al volante  del transporte...	NON_SEXIST
14	es	Me gustó un video de @YouTube https://t.co/tEgT8YIb0i MI MUJER AL VOLANTE en un CIRCUITO | Dani Clos	NON_SEXIST
15	es	Vayanse a la mierda con su discurso de silvir lis dis vidis cuando después, con su pañuelito celeste lleno de odio a las mujeres que luchan hacen estas cosas. https://t.co/M2IksXg1Uj	NON_SEXIST
16	es	@cules_rules Vaya voz de nenaza que te ha salido, no?! <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>	SEXIST
17	es	@Herlinda12_99 Bueno, no me dan pero voy a la cocina y como lo que haya Jajajaja Ly <U+2764><U+FE0F> https://t.co/RtozSkIHen	NON_SEXIST
18	es	Pues el @PRI_Nacional parece que volverá a fregar al país.	NON_SEXIST
19	es	And the winner is... la niñata cotorra marisabidilla <f0><U+009F><U+00A4><U+00AE><f0><U+009F><U+00A4><U+00AE> #MasterChef	NON_SEXIST
20	es	@mujerlunabella Lunita no dejes que te metan el dedulse en tus dias off https://t.co/SxGHTblWxQ	NON_SEXIST
21	es	"@Black_WidowN Estás peor tú que yo... Deberías tomar reposo.

—De todos modos, se dejó guiar por la adulta hasta el cama, donde ambas se sentaron—. 

Peter y yo... Bueno, corté con él. Tenía un comportamiento extraño y, en fin, empezó a llamarme zorra y demás. Me conoces, y sabes que no me »"	SEXIST
22	es	A tu novia se le trata como una princesa, se le respeta como una dama, se le consiente como una niña, y se le ama como una mujer.	NON_SEXIST
23	es	Siento q ésta democracia es como una mujer con wonderbra,luce muy bien pero algo nos están ocultando.	SEXIST
24	es	La veo igual de psicópata que la loca del bebito. ¿Ustedes no? https://t.co/GD2XlJXg4A	NON_SEXIST
25	es	"[1/7 11:01 PM] Gon: Vamos al mismo gym juntos?
[1/7 11:02 PM] Cande: Me re pinta eu
[1/7 11:06 PM] Gon: Salimos del gym y vamos a junior por un submarino o a betos por un lomito

Cómo hago para ser chica fitness si me proponen cosas así?"	NON_SEXIST
26	es	No digas que alguien es mala influencia, cada quien verá que hace; lo que importa es que esa persona se sienta bien, tú por ahora deja de ser mojigata y actúa como te de la gana.	NON_SEXIST
27	es	@ElMundoEspana Mujer al volante...	SEXIST
28	es	"@SalvaGarca4 @TecnocraciaFree @ashia1970 @30monedasdplata @TowandaRebels @naughtySalem @kalindama @LozanoMabel @Campercampeador @Ndemoniado @Laura7MJ @Pi__Lar @Grenhu @igualdadpsoem @carmencalvo_ @NuriaCSopena @IsaMastro @marinamarroqui @feminicidio @TFeminista_ @ahorapodemos @Esquerra_ERC @iunida @PSOE @AlikaKinan @amelia_tiganus @AmbarNoAbusos @ColectivoCaye Según tus propias palabras, las mujeres no deberían contratar prostitución ya que ""no lo necesitan como un hombre"".
 Te informo, además en que más del 98% de la prostitución masculina la consumen HOMBRES gays."	SEXIST
29	es	@UnaBooom No creo, no soy ninguna nenaza <f0><U+009F><U+0098><U+0082>	SEXIST
30	es	@Tefa_ @misiameiftowers Deja tú, la jeta de una, mi tía lagartona y elitista.	NON_SEXIST
31	es	Vivo con el miedo de cederle mi lugar en el camión a una señora y que sea feminazi. Xkk me daz thu lugar k kreez k no puedo ir parada o khe serdo machizta	SEXIST
32	es	@thecliniccl Irresponsable??? por mostrar una feminazi de Punta Arenas empleada de Boric?? la izq siempre se victimiza...	SEXIST
33	es	"@JaimeBN1987 @nahuelflores1 pero a ver, que ser feminista no es odiar a los hombres o acosarlos. 
que un gran grupo de su comunidad lo haga no significa que eso es lo que el movimiento quiere llevar.
el feminismo representa igualdad de genero y defender a las mujeras acosadas.
el movimiento ""feminazi"" acosa"	SEXIST
34	es	Una de mis housemates es de Inglaterra. Acabo de ir a la cocina, me ve y me dice “¿viste los resultados?” Y le digo “si, felicitaciones”. Normaaaal.	NON_SEXIST
35	es	@missbexana @FanficsSq Y digo niñata no en el sentido de adolescente que puede que sean pero tb hay gente de más edad que son igualmente inmaduras.	NON_SEXIST
36	es	"- Me parece perfecto que condenen a Nahir, me gustaría que apliquen lo mis
- MIREN A LAS FEMINISTAS DEFENDIENDO A UNA ASESINA MIREN
- Pero quiero decir que hay millones de femicidas suelt 
- CÓMO VAS A DECIR QUE NO MERECE IR PRESA LOCA DE MIERDA 
- Pero pará loc 
- NADIE MENOS!!1"	SEXIST
37	es	Y en tus dias malos, te voy a querer todavia más.	NON_SEXIST
38	es	Estar en tus días y en tiempos lluviosos debería ser descanso laborar y.u	NON_SEXIST
39	es	Tengo mil amigas en una, te amo zorra de mi 💙 https://t.co/qweLR8R4q1	NON_SEXIST
40	es	En Cataluña ponen a la zorra a cuidar las gallinas. https://t.co/5PZhXxt77v	NON_SEXIST
41	es	@camisosa13_ Zorra jajaaja te amo	NON_SEXIST
42	es	"Me va a explotar el pecho de orgullo.

Hace unos meses corría a abrazarle como una niña pequeña cuando su ídolo llegó de visita a la academia. Ahora compone canciones con él.

@Miriam_ot2017 🖤 https://t.co/YxDSUY7FCt"	NON_SEXIST
43	es	"""¿Vas a ir vestida así? Pero parecés una puta""

Aparte de machirulo terrible sorete como amigo. https://t.co/vHn8eyD5h7"	SEXIST
44	es	Pues si, seguro que eres divertida y me pareces una puta diosa la verdad. Muy crushh — basta ya de chuparnos los pitos https://t.co/JjOhJykY2L	NON_SEXIST
45	es	2018 y aun tengo amigas que cuando sacas temas de sexo te miran como si fueses una nimfomana loca del coño YA ME JODERIA	NON_SEXIST
46	es	@MashiRafael Ya mismo caes loca del ático. Ni mandando mensajes cada 5 minutos te salvas. Pudrete 🐀	NON_SEXIST
47	es	"Como la ""loca de los gatos "" ya esta pillado..pasará a ser la loca del pruces https://t.co/FLRqG2T7W3"	NON_SEXIST
48	es	@vanesavallejo3 Estas hormonas se encargan de producir los caracteres secundarios masculinos y femeninos por lo que con un tratamiento hormonal y una cirugía de reasignación de sexo bastaría biológicamente hablando para ser mujer.	NON_SEXIST
49	es	@Lirroy11 @FlacOSX10 @Rociobercovich No necesito un guion para ser mujer y menos por parte de un ser machista, soy mujer peleando por mis derechos y haciendome respetar	NON_SEXIST
50	es	Hasta para ser mujer el hombre es mejor, are https://t.co/VtbBL8D7iJ	SEXIST
51	es	@adnradiochile @MissUniversoOrg Transexual, por que para ser mujer no basta con solo parecerlo. Es mucho más profundo que eso	NON_SEXIST
52	es	“manejas muy bien para ser mujer” GRAXX it actually made my day 😂🤷🏼‍♀️	SEXIST
53	es	@genee_gm Loca me refiero a lo mojigata, no es mi problema como lo interpretes.	NON_SEXIST
54	es	"DAMA OCASIONA ACCIDENTE
#Policía #Campeche
Una mujer al volante protagonizó un aparatoso accidente sobre la av. López Portillo, luego de que al intentar ingresar a un local comercial, le cerró la circulación a un motociclista que poco pudo hacer para evitar la fuerte colisión. https://t.co/5cqQVEt1Cr"	NON_SEXIST
